pdbid lenght accep_rate distr_time ensemble_time
1ifg 140 100.0% 46.366 563.840
1ig0 319 98.0392156862745% 66.816 1266.862
1ig3 263 99.00990099009901% 67.622 1117.168
1ijt 128 100.0% 55.315 561.520
1ijx 127 100.0% 53.262 559.789
1ikp 613 99.00990099009901% 129.712 2596.317
1ikt 120 100.0% 49.700 535.917
1im5 180 100.0% 49.756 703.438
1io1 398 100.0% 81.142 1193.880
1iom 377 99.00990099009901% 74.494 1524.944
1iuq 367 100.0% 95.379 1748.593
1ix9 205 100.0% 87.508 1243.626
1j0p 108 100.0% 44.665 462.331
1j2l 70 100.0% 49.971 362.151
1j5u 136 100.0% 83.440 957.670
1j77 209 100.0% 69.926 936.350
1j8e 44 17.0% 45.113 782.319
1j8r 196 98.0392156862745% 51.110 736.903
1jhs 188 100.0% 59.507 740.772
1jif 122 100.0% 54.426 502.373
1jke 145 100.0% 54.638 542.116
1jnr 643 99.00990099009901% 143.403 3025.941
1jo0 98 100.0% 53.455 466.787
1jq5 370 99.00990099009901% 78.668 1309.967
1juv 193 100.0% 57.310 753.561
1jwq 179 100.0% 53.835 643.848
1jyo 130 100.0% 50.894 533.310
1jyo 105 99.00990099009901% 50.863 461.729
1k5n 276 98.0392156862745% 62.25 1200.50
1k7c 233 100.0% 62.513 813.339
1k7j 206 99.00990099009901% 58.139 742.319
1k8k 178 99.00990099009901% 55.559 693.358
1ka1 357 99.00990099009901% 73.951 1445.367
1kew 361 100.0% 108.881 2370.421
1kgq 274 100.0% 66.302 914.387
1knt 58 95.23809523809523% 79.589 541.521
1koe 172 99.00990099009901% 49.756 750.814
1kop 223 99.00990099009901% 96.830 1368.252
1kpt 105 100.0% 49.91 438.426
1krn 88 98.0392156862745% 41.31 423.739
1l2p 61 100.0% 77.549 552.457
1l2w 69 100.0% 48.239 351.841
1l5o 356 99.00990099009901% 104.846 1833.325
1l9l 74 99.00990099009901% 50.562 399.40
1lc3 294 100.0% 66.694 1053.686
1lfp 249 100.0% 75.934 1685.985
1lj5 379 99.00990099009901% 77.328 1689.780
1llf 534 100.0% 111.969 2110.126
1lln 262 100.0% 61.644 924.540
1lr0 129 100.0% 52.584 547.707
1lri 98 100.0% 142.170 965.849
1lsl 113 98.0392156862745% 49.702 473.651
1lwd 413 100.0% 168.80 3895.526
1m15 357 100.0% 79.939 1424.348
1m5q 130 100.0% 52.471 539.808
1m7v 363 100.0% 72.792 1662.743
1m8s 124 100.0% 45.204 544.422
1m9z 111 100.0% 49.729 479.763
1md6 154 99.00990099009901% 52.596 596.943
1mk0 97 99.00990099009901% 55.974 497.278
1mlw 301 100.0% 74.316 1228.273
1msc 129 100.0% 51.896 485.47
1msk 331 99.00990099009901% 68.954 1286.425
1mv8 436 99.00990099009901% 83.551 1588.566
1n2m 165 100.0% 54.150 606.216
1n7z 334 100.0% 73.204 1233.149
1n8u 112 100.0% 43.734 509.103
1nf8 207 100.0% 55.779 782.573
1ng6 148 100.0% 48.350 560.774
1nh2 53 100.0% 46.100 317.414
1nij 318 100.0% 66.969 1109.984
1njh 119 100.0% 50.187 500.405
1nl1 147 100.0% 54.334 616.243
1nnh 294 100.0% 69.613 1182.55
1nns 326 99.00990099009901% 69.214 1027.240
1ntv 152 99.00990099009901% 87.885 1110.31
1nty 311 100.0% 64.691 1259.743
1o0s 605 98.0392156862745% 131.446 2833.4
1o1x 155 100.0% 53.619 643.182
1o4k 108 100.0% 50.974 498.377
1o75 415 96.15384615384616% 82.149 1796.73
1o98 511 99.00990099009901% 103.415 2499.256
1oao 729 98.0392156862745% 257.761 5041.673
1ocy 198 100.0% 55.978 694.587
1oh9 258 97.0873786407767% 61.829 936.683
1ois 223 100.0% 60.895 877.49
1ojh 65 100.0% 48.610 361.185
1ojq 212 100.0% 152.45 1772.862
1ok0 74 99.00990099009901% 51.896 379.385
1ouw 152 99.00990099009901% 46.983 558.742
1p5g 463 99.00990099009901% 140.733 2785.581
1pby 79 99.00990099009901% 51.226 385.912
1pcf 66 99.00990099009901% 47.637 361.383
1pch 88 100.0% 44.165 386.363
1pp0 199 97.0873786407767% 55.807 779.450
1ptq 50 100.0% 85.696 519.164
1puc 105 98.0392156862745% 77.173 743.263
1pv5 264 99.00990099009901% 55.883 993.506
1q2h 69 100.0% 48.13 360.424
1q74 303 98.0392156862745% 68.308 1205.558
1q8f 313 100.0% 68.306 1026.518
1qau 112 100.0% 49.678 497.347
1qb7 236 99.00990099009901% 54.29 863.498
1qcs 211 99.00990099009901% 57.691 786.125
1qdd 144 98.0392156862745% 50.395 601.133
1qgi 259 100.0% 94.181 1305.8
1qhv 195 100.0% 74.644 905.49
1ql0 241 99.00990099009901% 111.654 1927.122
1qlm 316 100.0% 65.346 1049.431
1qnx 209 100.0% 61.247 878.910
1qw2 102 100.0% 54.361 459.302
1qwz 235 100.0% 58.346 1112.33
1qxo 388 99.00990099009901% 73.272 1443.465
1r0k 388 100.0% 77.702 1424.527
1r5l 262 99.00990099009901% 63.319 1115.503
1r6w 322 100.0% 162.805 2105.849
1r8m 203 99.00990099009901% 56.767 781.842
1r9f 136 100.0% 46.353 580.601
1rgz 363 100.0% 95.209 1624.397
1rk8 147 100.0% 51.991 626.548
1rl6 177 99.00990099009901% 54.623 667.385
1rlk 117 99.00990099009901% 51.523 501.711
1rm6 324 99.00990099009901% 62.408 1159.262
1rqj 299 100.0% 66.421 1044.276
1rrm 386 99.00990099009901% 77.832 1456.265
1rss 151 100.0% 52.62 618.238
1ru4 400 99.00990099009901% 71.58 1515.536
1ryl 167 100.0% 54.329 645.313
1s9r 410 97.0873786407767% 89.356 1853.427
1s9u 207 98.0392156862745% 56.982 889.240
1sdi 213 100.0% 91.126 1153.533
1sei 130 100.0% 61.609 578.454
1sf9 128 99.00990099009901% 46.615 587.394
1ssq 267 100.0% 111.284 1589.585
1svb 395 100.0% 75.559 1705.581
1sx3 525 100.0% 110.89 1732.2
1t61 229 100.0% 58.586 905.583
1t7v 278 99.00990099009901% 63.202 1150.509
1t8k 77 100.0% 125.768 721.277
1t95 240 99.00990099009901% 71.83 1144.205
1t9i 163 100.0% 54.515 630.414
1tag 324 99.00990099009901% 64.536 1206.589
1tdz 272 99.00990099009901% 58.865 1040.61
1tez 474 99.00990099009901% 96.667 2120.233
1tg7 971 100.0% 309.106 5977.278
1tgr 52 93.45794392523365% 40.933 342.629
1tov 98 100.0% 50.914 445.425
1tt8 164 100.0% 54.43 660.730
1tzw 142 100.0% 51.224 598.144
1u07 90 100.0% 55.473 460.839
1u09 476 100.0% 87.725 2074.155
1u55 188 98.0392156862745% 52.835 797.349
1u6r 380 99.00990099009901% 70.820 1537.217
1u6t 121 100.0% 50.907 538.82
1u7k 131 98.0392156862745% 52.19 575.383
1u84 90 100.0% 52.156 410.89
1u8v 490 99.00990099009901% 98.929 1884.308
1ugp 203 100.0% 90.658 1168.346
1uha 82 99.00990099009901% 96.765 712.710
1uoy 64 97.0873786407767% 40.671 362.55
1upt 60 99.00990099009901% 48.656 388.662
1utg 70 100.0% 53.948 388.227
1uwk 557 100.0% 117.850 2407.495
1ux6 350 100.0% 76.562 1685.38
1uxy 340 100.0% 98.102 1926.905
1uz3 102 100.0% 50.201 456.267
1v0w 506 100.0% 105.320 2025.127
1v4p 157 99.00990099009901% 70.603 798.155
1v7r 186 98.0392156862745% 57.212 793.546
1v7z 260 100.0% 60.988 918.303
1v9m 323 99.00990099009901% 89.151 1381.552
1vaj 214 100.0% 106.43 1405.528
1vbi 344 100.0% 78.255 1450.151
1vbw 68 100.0% 42.286 348.447
1vcc 77 99.00990099009901% 95.304 968.903
1vcl 432 100.0% 89.122 1630.948
1vdk 466 99.00990099009901% 94.173 1822.963
1ve0 134 100.0% 107.64 1252.591
1vk1 242 100.0% 61.939 937.483
1vkm 297 100.0% 134.900 2602.912
1vlb 907 97.0873786407767% 302.457 6528.927
1vr8 142 100.0% 53.662 637.503
1vyi 112 99.00990099009901% 50.90 528.178
1vzy 291 100.0% 66.733 988.545
1w2w 211 100.0% 57.772 756.199
1w53 84 100.0% 43.865 413.303
1wbe 209 100.0% 66.838 1223.397
1wd5 208 100.0% 52.759 733.324
1wf3 301 100.0% 65.672 1085.596
1whi 122 100.0% 97.348 872.89
1whz 70 100.0% 82.674 582.368
1wlg 299 99.00990099009901% 75.393 1095.921
1wna 131 100.0% 137.806 1242.438
1wpb 172 100.0% 49.882 738.277
1wpu 147 99.00990099009901% 82.737 901.763
1wq6 72 99.00990099009901% 116.648 925.15
1wq8 110 99.00990099009901% 50.457 481.956
1wqj 80 100.0% 41.417 383.145
1wui 534 99.00990099009901% 113.546 2674.188
1wui 267 100.0% 63.919 934.959
1wx1 335 99.00990099009901% 68.749 1167.83
1x6i 91 100.0% 117.509 1013.320
1x6j 91 98.0392156862745% 52.609 461.298
1xeo 168 100.0% 108.542 1062.631
1xg0 76 100.0% 43.955 398.321
1xhk 187 100.0% 59.338 716.367
1xkg 312 99.00990099009901% 77.655 1564.529
1xkn 355 98.0392156862745% 72.562 1562.893
1xkr 206 99.00990099009901% 56.352 728.793
1xmk 79 100.0% 48.324 386.785
1xo7 166 99.00990099009901% 59.942 612.481
1xsz 356 99.00990099009901% 66.671 1312.502
1xta 221 100.0% 137.292 1680.449
1xty 120 100.0% 77.169 761.183
1xvg 170 100.0% 57.438 711.475
1xwl 580 100.0% 114.654 2490.282
1y0n 78 100.0% 50.906 410.923
1y6i 233 100.0% 77.975 1129.817
1y7t 327 100.0% 69.771 1194.825
1yoc 147 100.0% 90.230 878.325
1yoe 322 100.0% 113.979 1833.123
1yoz 116 100.0% 47.980 523.556
1ypy 184 100.0% 48.314 621.42
1yqe 282 99.00990099009901% 138.431 2074.801
1ys1 320 100.0% 62.14 1075.741
1yu0 381 100.0% 168.599 3167.789
1yu5 67 100.0% 51.971 382.604
1z0b 207 100.0% 62.609 755.970
1z1l 345 100.0% 73.642 1415.912
1z21 112 100.0% 45.407 481.564
1z2u 150 100.0% 140.46 890.663
1z7k 62 100.0% 47.485 344.188
1zd7 159 100.0% 51.761 601.403
1zdy 307 100.0% 66.811 1131.671
1zjc 418 99.00990099009901% 84.702 1756.131
1zn6 227 99.00990099009901% 57.803 999.840
1zos 230 100.0% 98.470 1226.441
1zpe 314 100.0% 132.714 1736.22
1zsw 338 99.00990099009901% 71.152 1464.272
1zt5 80 100.0% 147.479 1021.765
1zxx 319 99.00990099009901% 86.928 1443.371
2a6s 84 99.00990099009901% 44.668 464.763
2abk 211 100.0% 57.235 775.381
2ad6 571 99.00990099009901% 119.717 6115.484
2ad6 69 100.0% 51.502 390.438
2ahn 222 100.0% 59.143 746.153
2aib 98 100.0% 87.742 644.994
2aj7 163 100.0% 63.804 696.615
2amh 207 100.0% 71.760 914.360
2at8 184 100.0% 52.228 722.510
2au3 407 100.0% 79.669 1401.4
2au7 175 100.0% 69.853 780.241
2b0a 186 100.0% 60.25 707.117
2b0t 738 100.0% 190.405 3505.272
2b1y 104 100.0% 47.127 478.120
2b3y 888 99.00990099009901% 364.806 7739.840
2b7r 571 100.0% 235.683 5889.782
2b97 71 97.0873786407767% 74.326 517.397
2b9d 52 98.0392156862745% 40.989 322.960
2bbr 195 100.0% 72.621 915.885
2bf6 449 100.0% 143.155 2920.784
2bfw 200 99.00990099009901% 56.740 758.51
2bjq 345 99.00990099009901% 72.608 1376.17
2bk9 153 100.0% 53.412 581.350
2bko 205 100.0% 131.386 1742.573
2bln 305 99.00990099009901% 65.139 1248.643
2bmo 194 100.0% 59.875 865.596
2bo1 101 100.0% 51.390 447.381
2bti 63 100.0% 48.667 351.219
2bw3 84 100.0% 42.908 393.217
2c9i 228 100.0% 70.35 1111.92
2cb5 453 100.0% 90.62 1891.416
2ccq 99 100.0% 100.403 787.454
2cfe 162 100.0% 73.367 731.456
2cg7 90 99.00990099009901% 80.448 629.675
2cwy 94 100.0% 51.296 497.951
2cx7 130 100.0% 56.740 563.866
2cxi 348 100.0% 65.798 1370.189
2cyj 118 100.0% 54.587 568.758
2d1l 253 100.0% 62.204 955.309
2d28 149 100.0% 57.470 598.872
2d5b 500 99.00990099009901% 97.650 2456.79
2db7 64 100.0% 44.231 349.934
2dka 544 98.0392156862745% 99.5 2074.135
2dlb 80 99.00990099009901% 63.676 505.156
2dt4 143 100.0% 62.447 637.670
2dt8 280 99.00990099009901% 56.734 1038.877
2dtr 226 100.0% 64.689 863.646
2dwk 180 99.00990099009901% 54.839 688.433
2e5y 133 100.0% 52.156 516.508
2e6x 69 100.0% 51.699 382.145
2e7u 424 100.0% 76.574 1541.846
2e7z 727 98.0392156862745% 178.718 3888.915
2e8e 132 100.0% 85.539 953.569
2ebb 101 100.0% 50.943 483.234
2ed6 170 100.0% 55.848 623.598
2ehq 516 99.00990099009901% 100.235 2073.240
2ejn 153 100.0% 56.658 616.821
2end 138 100.0% 73.576 762.665
2eo4 149 100.0% 54.995 616.275
2erl 40 96.15384615384616% 93.475 641.731
2es9 115 100.0% 61.299 579.732
2ex2 458 100.0% 171.643 3483.886
2f5t 233 100.0% 58.116 811.369
2f60 64 100.0% 43.50 386.190
2f6e 127 100.0% 51.110 504.605
2fb5 205 99.00990099009901% 61.21 835.287
2fb6 117 100.0% 141.130 1176.218
2fe5 94 100.0% 48.578 417.822
2fef 294 100.0% 68.657 1154.93
2fhz 109 100.0% 50.275 483.233
2fi9 128 100.0% 107.114 923.286
2fip 115 99.00990099009901% 50.17 586.523
2fj8 125 100.0% 54.422 556.373
2fma 59 96.15384615384616% 46.280 400.257
2fos 260 100.0% 59.636 1102.514
2fp1 166 100.0% 55.138 676.15
2ftx 90 100.0% 116.392 774.810
2fyg 128 100.0% 45.667 530.519
2fzp 144 100.0% 63.193 729.281
2g64 140 99.00990099009901% 75.94 913.745
2g7o 70 100.0% 47.355 361.381
2gc4 131 100.0% 73.896 698.711
2gc4 147 99.00990099009901% 53.898 579.869
2gec 139 100.0% 50.990 605.73
2gg2 263 100.0% 62.761 953.545
2gg6 455 99.00990099009901% 90.495 1489.151
2gh0 101 100.0% 146.749 865.385
2gib 103 100.0% 69.693 746.800
2gke 274 100.0% 68.438 1013.361
2gkp 167 100.0% 57.638 711.573
2gkr 51 100.0% 47.898 315.736
2glz 153 100.0% 52.861 666.683
2gno 305 100.0% 86.504 1380.194
2gpi 91 100.0% 48.189 415.661
2gs5 198 100.0% 60.240 727.156
2gwm 200 100.0% 49.504 705.902
2gwn 452 100.0% 84.238 1882.752
2h1t 188 99.00990099009901% 52.353 762.633
2h2z 306 100.0% 138.393 2642.251
2hba 52 98.0392156862745% 42.532 314.846
2hgx 365 99.00990099009901% 75.228 1479.994
2hhv 580 99.00990099009901% 195.231 4211.967
2hng 127 99.00990099009901% 65.312 620.515
2hnu 81 100.0% 83.148 667.769
2hq4 161 100.0% 52.279 671.673
2hqk 221 100.0% 59.608 903.281
2hu9 130 100.0% 52.482 564.652
2hxm 223 100.0% 77.801 1093.711
2hy5 130 100.0% 53.657 606.443
2hyv 308 98.0392156862745% 159.919 2255.316
2i2f 272 100.0% 56.970 1164.462
2i5u 83 100.0% 79.750 629.412
2i5v 251 100.0% 59.603 781.746
2i7c 283 100.0% 64.167 1028.85
2i9w 184 98.0392156862745% 58.5 796.282
2i9x 87 99.00990099009901% 50.927 442.247
2ia1 178 100.0% 74.71 1028.68
2iay 114 100.0% 51.263 486.99
2id6 202 99.00990099009901% 82.429 1001.855
2ie6 318 100.0% 92.710 1340.533
2igi 180 100.0% 86.630 986.147
2igp 120 99.00990099009901% 65.513 649.528
2ii1 301 100.0% 63.809 972.952
2imf 203 100.0% 149.238 1739.756
2ims 171 100.0% 54.9 687.324
2in8 139 100.0% 53.57 585.970
2inc 491 100.0% 99.126 2367.107
2it2 200 98.0392156862745% 62.730 907.965
2ixm 303 100.0% 68.991 1183.702
2j6a 141 100.0% 51.270 607.89
2j6b 109 100.0% 54.478 508.201
2j7z 68 98.0392156862745% 43.33 372.765
2jc5 259 99.00990099009901% 64.232 1071.794
2jdd 146 99.00990099009901% 55.121 635.743
2jek 145 100.0% 53.981 632.394
2jft 234 100.0% 61.903 805.802
2jh3 474 97.0873786407767% 99.812 2496.316
2jhf 374 99.00990099009901% 76.591 1334.906
2jlq 451 99.00990099009901% 108.705 1869.63
2lis 136 100.0% 45.590 585.702
2nml 104 99.00990099009901% 43.186 491.96
2nnu 205 99.00990099009901% 56.813 901.591
2nqw 93 98.0392156862745% 120.457 886.113
2nsa 170 100.0% 56.851 728.21
2nug 221 100.0% 93.909 1349.291
2nuk 141 100.0% 55.709 563.359
2nwv 114 98.0392156862745% 50.562 512.186
2o4t 100 100.0% 98.562 854.217
2o6x 310 100.0% 72.433 1341.613
2o74 174 100.0% 99.929 1174.89
2o7o 207 99.00990099009901% 55.554 771.967
2obl 347 100.0% 70.928 1132.138
2oeb 155 99.00990099009901% 55.490 641.721
2oez 247 99.00990099009901% 96.408 1659.517
2ofz 138 100.0% 64.758 676.370
2onf 140 100.0% 65.38 710.159
2op6 152 100.0% 64.923 695.652
2ot9 180 100.0% 51.284 725.617
2ov9 216 100.0% 51.253 790.517
2ovj 201 100.0% 60.294 756.430
2ox7 155 100.0% 52.802 707.754
2oxl 64 100.0% 102.731 807.939
2oxo 103 100.0% 69.986 545.681
2oy9 98 99.00990099009901% 66.459 569.826
2oya 102 99.00990099009901% 52.777 471.109
2ozl 365 100.0% 78.660 1463.764
2p12 176 100.0% 54.739 814.105
2p2v 288 99.00990099009901% 59.635 1110.120
2p3p 207 100.0% 58.712 762.652
2p54 267 98.0392156862745% 64.57 1030.350
2p58 65 100.0% 47.562 363.205
2p6h 134 100.0% 57.428 597.837
2p6v 114 100.0% 54.106 470.593
2p84 145 100.0% 51.747 660.502
2p9x 99 100.0% 49.506 467.77
2pa6 427 99.00990099009901% 89.752 1602.19
2pag 135 97.0873786407767% 140.482 1285.911
2pbk 228 99.00990099009901% 129.628 2106.483
2pcn 161 100.0% 54.234 560.962
2pfx 191 99.00990099009901% 58.340 720.905
2phn 254 100.0% 65.331 885.936
2pmb 462 100.0% 93.409 2084.155
2pmk 243 100.0% 64.370 934.534
2pnw 380 100.0% 109.147 2312.241
2po4 1104 99.00990099009901% 402.94 7313.25
2ppv 332 100.0% 67.695 1168.292
2pq8 278 98.0392156862745% 63.669 1159.907
2pqx 245 98.0392156862745% 59.310 904.896
2prv 153 100.0% 53.37 612.53
2psp 106 100.0% 62.909 532.132
2pst 74 99.00990099009901% 47.700 478.239
2pu3 211 99.00990099009901% 64.850 936.304
2pu9 110 100.0% 50.118 483.760
2pv4 145 99.00990099009901% 134.800 1038.620
2pw8 65 99.00990099009901% 49.567 356.423
2py5 575 99.00990099009901% 120.415 2678.803
2pyq 114 99.00990099009901% 51.633 493.816
2q2g 180 99.00990099009901% 82.666 1033.114
2q7x 326 100.0% 71.197 1248.953
2q9r 200 100.0% 53.420 734.162
2qcu 501 99.00990099009901% 102.943 2292.292
2qdx 257 100.0% 60.640 979.527
2qev 145 100.0% 54.282 614.781
2qhq 125 100.0% 51.56 489.293
2qia 262 100.0% 64.762 989.165
2qjz 123 100.0% 117.189 922.741
2qmj 870 99.00990099009901% 246.63 5279.17
2qnl 162 100.0% 54.81 684.438
2qp2 511 99.00990099009901% 104.704 2008.325
2qq4 138 100.0% 58.487 583.11
2qsa 109 99.00990099009901% 62.107 581.822
2qsk 95 100.0% 48.539 435.145
2qtd 105 100.0% 67.101 562.916
2qud 125 100.0% 76.112 688.958
2qwo 92 99.00990099009901% 94.947 1015.50
2r2d 276 99.00990099009901% 75.633 1289.420
2r31 239 100.0% 155.59 2020.630
2ra8 362 99.00990099009901% 118.985 2373.761
2rbk 261 100.0% 93.737 1466.37
2rci 204 100.0% 58.576 785.85
2rdi 342 97.0873786407767% 150.243 2759.725
2rff 111 100.0% 49.615 488.288
2rij 387 100.0% 97.18 1627.970
2rji 84 100.0% 48.424 440.252
2rjw 67 100.0% 67.31 489.419
2rkq 169 99.00990099009901% 57.190 717.855
2rku 294 100.0% 93.299 1728.684
2rkv 451 99.00990099009901% 89.573 1631.920
2uxy 341 100.0% 75.934 1369.971
2v05 311 99.00990099009901% 66.184 1366.471
2v0u 146 100.0% 52.536 581.794
2v27 275 100.0% 63.137 1114.912
2v4b 300 100.0% 59.707 1139.436
2v4n 254 100.0% 65.78 895.680
2v6a 140 100.0% 45.415 523.886
2v9m 274 100.0% 66.285 1056.600
2vac 134 99.00990099009901% 112.115 1296.533
2vcc 891 98.0392156862745% 256.127 5064.833
2vfk 205 100.0% 56.996 766.545
2vfx 206 100.0% 55.526 713.506
2vg3 284 100.0% 148.99 2451.5
2vh3 113 100.0% 50.420 491.795
2vi1 207 99.00990099009901% 57.783 789.225
2vkp 109 100.0% 118.120 1033.608
2vlf 456 100.0% 86.626 1902.282
2vm5 106 100.0% 67.724 584.890
2vmc 257 100.0% 68.554 1052.654
2vnl 151 99.00990099009901% 114.963 1067.602
2vri 174 100.0% 84.277 898.693
2vrs 211 97.0873786407767% 56.416 795.184
2vy8 157 100.0% 68.203 743.304
2vzc 131 100.0% 72.343 662.629
2w0g 129 100.0% 115.425 1001.41
2w0i 135 100.0% 52.80 585.500
2w39 298 100.0% 68.85 1128.957
2w56 147 100.0% 119.568 988.218
2w6k 145 99.00990099009901% 51.706 576.605
2w86 147 100.0% 121.761 949.342
2w8x 72 100.0% 80.708 724.727
2w9y 140 100.0% 45.882 551.192
2waw 199 100.0% 55.192 684.55
2wb6 130 100.0% 56.66 596.952
2wbf 265 99.00990099009901% 101.402 1700.560
2wcu 149 100.0% 51.728 558.831
2wfr 165 100.0% 90.190 1117.386
2wkx 261 97.0873786407767% 63.117 1066.146
2wlt 332 100.0% 91.8 1607.346
2wn3 254 100.0% 63.829 995.589
2wnp 217 100.0% 57.226 822.326
2wpq 99 100.0% 50.113 440.546
2wqi 51 99.00990099009901% 68.794 397.952
2wr8 259 100.0% 62.529 931.63
2wsi 306 99.00990099009901% 68.543 1176.837
2wya 460 100.0% 86.270 1806.525
2wzo 146 100.0% 56.846 594.282
2x49 333 100.0% 69.576 1260.489
2x5g 96 100.0% 44.671 431.79
2x5h 97 100.0% 69.60 567.836
2x5r 127 100.0% 50.744 536.791
2x96 598 99.00990099009901% 134.10 3073.837
2x9o 244 100.0% 56.850 956.285
2xdg 92 100.0% 44.332 401.34
2xeu 64 87.71929824561403% 51.492 431.410
2xf2 688 99.00990099009901% 152.24 3215.872
2xf7 51 43.66812227074236% 76.838 874.436
2xjq 258 100.0% 60.803 865.68
2xmx 271 100.0% 65.122 1068.120
2xol 176 100.0% 47.139 671.892
2xpp 145 100.0% 138.318 1384.148
2xrh 100 100.0% 44.720 470.492
2xse 170 100.0% 139.373 1324.486
2xu8 116 100.0% 48.868 495.773
2xvs 166 100.0% 54.969 617.481
2xz2 66 99.00990099009901% 51.755 382.670
2xz3 463 99.00990099009901% 106.678 2166.885
2y1q 150 100.0% 55.524 590.216
2y1y 90 100.0% 59.501 471.481
2y20 58 97.0873786407767% 46.490 352.661
2y39 118 100.0% 52.930 524.443
2y3w 182 100.0% 55.662 669.580
2y44 184 100.0% 48.568 635.478
2y4x 93 100.0% 82.32 619.292
2y7b 134 100.0% 53.844 577.308
2ycl 445 99.00990099009901% 131.887 2562.273
2ygs 92 100.0% 45.327 433.910
2yjg 436 99.00990099009901% 82.659 1783.859
2yp8 503 100.0% 98.1 2214.58
2ysk 145 99.00990099009901% 64.128 711.809
2yvo 182 98.0392156862745% 61.64 766.49
2yvq 143 100.0% 53.592 581.66
2yxn 322 100.0% 70.559 1159.856
2yzt 67 98.0392156862745% 50.184 387.639
2z0j 237 100.0% 74.474 902.310
2z0x 158 100.0% 52.866 573.698
2z4u 261 99.00990099009901% 145.246 2021.988
2z6r 265 100.0% 117.236 2240.491
2z7f 50 100.0% 47.92 311.846
2zca 169 100.0% 54.621 698.771
2zfz 79 100.0% 79.136 548.730
2znr 178 100.0% 55.615 734.76
2zwd 281 100.0% 67.549 1413.720
2zzd 157 100.0% 52.626 694.608
3a0y 152 100.0% 50.96 610.302
